field,ID,RA,DEC,z_peak,z_a,z_ml,z_spec,Prob_gt_6,Prob_gt_7,Prob_gt_8,Prob_gt_9,chi_a,nfilt,clean_lw_bands,tag_low_prob,tag_spec_conflict,tag_low_red_coverage,tag_lowz_competitive
GOODS-N,1043875,189.33374,62.166557,7.519999980926514,7.519999980926514,7.5208916664123535,-9999.0,0.9999998211860657,0.9999324083328247,0.05393880233168602,0.0009799860417842865,8.381309509277344,14,6,0,0,0,0
GOODS-N,1043894,189.3424,62.16656,8.390000343322754,8.390000343322754,8.38591194152832,-9999.0,0.9933116436004639,0.9920946955680847,0.8451982736587524,0.21346160769462585,6.853279113769531,14,6,0,0,0,0
GOODS-N,1043992,189.28342,62.166958,6.680000305175781,6.680000305175781,6.673266887664795,-9999.0,0.8492543697357178,0.015909502282738686,0.00010772118548629805,8.409997462877072e-06,3.5651423931121826,14,6,0,0,0,0
GOODS-N,1044037,189.27324,62.167114,6.680000305175781,6.680000305175781,6.675652980804443,-9999.0,1.0,3.0674922868456633e-07,1.0207608980294935e-08,1.0182458431984287e-08,21.513673782348633,14,6,0,0,0,0
GOODS-N,1044070,189.21556,62.167187,8.65999984741211,8.65999984741211,8.657452583312988,-9999.0,0.9994142055511475,0.998945415019989,0.9194630980491638,0.19766369462013245,7.975926399230957,14,6,0,0,0,0
GOODS-N,1044099,189.25708,62.167347,6.03000020980835,6.03000020980835,6.030893802642822,-9999.0,0.8389536738395691,2.4103531363057664e-23,5.3089126872675445e-34,5.771948374553922e-42,11.493671417236328,14,6,0,0,0,0
GOODS-N,1044131,189.33638,62.16733,12.5600004196167,12.5600004196167,12.56129264831543,-9999.0,0.9955034852027893,0.9955010414123535,0.9954864382743835,0.9951972365379333,9.502992630004883,14,6,0,0,0,0
GOODS-N,1044255,189.22963,62.167645,8.850000381469727,8.850000381469727,8.845267295837402,-9999.0,0.9921712279319763,0.969738781452179,0.9642119407653809,0.5034459233283997,8.430357933044434,14,6,0,0,0,0
GOODS-N,1044288,189.2807,62.167763,6.889999866485596,6.889999866485596,6.884634971618652,-9999.0,0.9999591112136841,0.04054218903183937,2.119050441251602e-05,9.303633419222024e-07,12.285524368286133,14,6,0,0,0,0
GOODS-N,1044326,189.21371,62.16785,9.100000381469727,9.100000381469727,9.094959259033203,-9999.0,0.9993958473205566,0.9993729591369629,0.997058093547821,0.8176177144050598,7.478060245513916,14,6,0,0,0,0
GOODS-N,1044332,189.22635,62.16789,7.460000038146973,7.460000038146973,7.463061809539795,-9999.0,0.9999999403953552,0.9982925653457642,0.024424036964774132,1.7733850654622074e-07,11.867513656616211,14,6,0,0,0,0
GOODS-N,1044391,189.21864,62.168045,7.340000152587891,7.340000152587891,7.341675758361816,-9999.0,0.9999173879623413,0.9982318878173828,0.0009609820554032922,0.000235079787671566,8.51629638671875,14,6,0,0,0,0
GOODS-N,1044470,189.30171,62.168266,7.260000228881836,7.260000228881836,7.25844144821167,-9999.0,0.9929213523864746,0.9232946634292603,0.028485188260674477,0.005757387727499008,5.936505317687988,14,6,0,0,0,0
GOODS-N,1044572,189.28647,62.16864,6.960000038146973,6.960000038146973,6.958055019378662,-9999.0,1.000000238418579,0.38216108083724976,2.5635234123910777e-05,1.845052288729221e-08,11.399813652038574,14,6,0,0,0,0
GOODS-N,1044868,189.26833,62.1695,6.889999866485596,6.889999866485596,6.892770290374756,-9999.0,0.9977979063987732,0.28998181223869324,0.008667723275721073,0.00022522659855894744,9.9015474319458,14,6,0,0,0,0
